vendor_name,payment_description,count
"Creative Mobile Technologies, LLC",Unknown,1
Helix,Dispute,740
Helix,No charge,1563
Helix,Cash,23754
"Creative Mobile Technologies, LLC",Dispute,24588
"Creative Mobile Technologies, LLC",No charge,37178
"Curb Mobility, LCC",No charge,42480
Helix,Credit card,163473
"Curb Mobility, LCC",Dispute,237771
"Creative Mobile Technologies, LLC",Cash,466727
"Curb Mobility, LCC",Cash,1695252
"Creative Mobile Technologies, LLC",Credit card,3348149
"Curb Mobility, LCC",Credit card,11861380
